timestamp,open,high,low,close,volume
2023-08-21 13:20:00,1669.00000,1669.50000,1666.99000,1667.53000,1662
2023-08-21 13:15:00,1669.81000,1670.00000,1668.37000,1669.00000,468
2023-08-21 13:10:00,1670.82000,1671.40000,1669.66000,1669.81000,952
2023-08-21 13:05:00,1672.40000,1672.40000,1670.40000,1670.83000,524
2023-08-21 13:00:00,1670.75000,1672.40000,1670.75000,1672.40000,401
2023-08-21 12:55:00,1671.71000,1671.99000,1670.08000,1670.76000,718
2023-08-21 12:50:00,1673.44000,1673.44000,1671.63000,1671.71000,672
2023-08-21 12:45:00,1673.81000,1674.17000,1673.43000,1673.44000,228
2023-08-21 12:40:00,1674.19000,1674.20000,1673.53000,1673.80000,248
2023-08-21 12:35:00,1672.31000,1674.34000,1672.06000,1674.20000,334
2023-08-21 12:30:00,1673.88000,1673.88000,1672.30000,1672.30000,365
2023-08-21 12:25:00,1675.19000,1675.49000,1673.64000,1673.88000,892
2023-08-21 12:20:00,1675.13000,1675.60000,1674.52000,1675.20000,611
2023-08-21 12:15:00,1675.24000,1675.60000,1674.50000,1675.13000,368
2023-08-21 12:10:00,1675.91000,1676.00000,1675.02000,1675.23000,404
2023-08-21 12:05:00,1674.71000,1675.91000,1674.59000,1675.90000,995
2023-08-21 12:00:00,1672.78000,1674.85000,1672.77000,1674.70000,778
2023-08-21 11:55:00,1672.82000,1673.08000,1671.60000,1672.77000,370
2023-08-21 11:50:00,1670.58000,1673.17000,1670.30000,1672.81000,1394
2023-08-21 11:45:00,1671.71000,1671.72000,1670.02000,1670.59000,525
2023-08-21 11:40:00,1670.77000,1671.72000,1670.04000,1671.71000,413
2023-08-21 11:35:00,1670.82000,1670.83000,1670.20000,1670.76000,524
2023-08-21 11:30:00,1669.84000,1671.00000,1669.83000,1670.83000,477
2023-08-21 11:25:00,1669.63000,1670.26000,1669.40000,1669.84000,531
2023-08-21 11:20:00,1668.64000,1669.74000,1668.42000,1669.63000,497
2023-08-21 11:15:00,1667.10000,1668.88000,1666.56000,1668.64000,480
2023-08-21 11:10:00,1667.71000,1667.72000,1666.65000,1667.10000,349
2023-08-21 11:05:00,1668.08000,1668.39000,1667.52000,1667.72000,370
2023-08-21 11:00:00,1667.00000,1668.09000,1666.42000,1668.08000,552
2023-08-21 10:55:00,1665.21000,1667.00000,1665.01000,1666.99000,850
2023-08-21 10:50:00,1666.69000,1666.69000,1662.11000,1665.21000,2251
2023-08-21 10:45:00,1665.21000,1666.69000,1664.20000,1666.69000,1359
2023-08-21 10:40:00,1666.53000,1667.73000,1664.00000,1665.22000,5260
2023-08-21 10:35:00,1665.92000,1667.59000,1665.92000,1666.52000,930
